POL,POD,Place of Delivery,Curr,D20,D40,Note,polName,podName,originalPlaceOfDelivery,feederD20,feederD40,baseD20,baseD40,feederPlaceOfReceipt,feederPlaceOfReceiptID,Place of Receipt
659690,657301,657301,USD,2180,2700,"1,2,4",YANTIAN,NORFOLK,NORFOLK,180,200,2000,2500,GAOMING,659690,GAOMING
659690,656034,656034,USD,2180,2700,"1,2,4",YANTIAN,SAVANNAH,SAVANNAH,180,200,2000,2500,GAOMING,659690,GAOMING
659690,656290,656290,USD,2180,2700,"1,2,4",YANTIAN,CHARLESTON,CHARLESTON,180,200,2000,2500,GAOMING,659690,GAOMING
659690,656034,656775,USD,2780,3450,"1,2,4",YANTIAN,SAVANNAH,"ATLANTA, GA",180,200,2600,3250,GAOMING,659690,GAOMING
659690,649220,660245,USD,3220,4000,"1,2,4",YANTIAN,NEW YORK,"BUFFALO, NY",180,200,3040,3800,GAOMING,659690,GAOMING
659690,656034,656284,USD,2780,3450,"1,2,4",YANTIAN,SAVANNAH,"CHARLOTTE, NC",180,200,2600,3250,GAOMING,659690,GAOMING
659690,656034,660242,USD,2980,3700,"1,2,4",YANTIAN,SAVANNAH,"CHATSWORTH, GA",180,200,2800,3500,GAOMING,659690,GAOMING
659690,649220,656569,USD,3220,4000,"1,2,4",YANTIAN,NEW YORK,"CHICAGO, IL",180,200,3040,3800,GAOMING,659690,GAOMING
659690,657301,656569,USD,3220,4000,"1,2,4",YANTIAN,NORFOLK,"CHICAGO, IL",180,200,3040,3800,GAOMING,659690,GAOMING
659690,649220,660244,USD,3220,4000,"1,2,4",YANTIAN,NEW YORK,"CINCINNATI, OH",180,200,3040,3800,GAOMING,659690,GAOMING
659690,657301,660244,USD,3220,4000,"1,2,4",YANTIAN,NORFOLK,"CINCINNATI, OH",180,200,3040,3800,GAOMING,659690,GAOMING
659690,649220,657532,USD,3100,3850,"1,2,4",YANTIAN,NEW YORK,"CLEVELAND, OH",180,200,2920,3650,GAOMING,659690,GAOMING
659690,657301,657532,USD,3100,3850,"1,2,4",YANTIAN,NORFOLK,"CLEVELAND, OH",180,200,2920,3650,GAOMING,659690,GAOMING
659690,649220,656909,USD,3260,4050,"1,2,4",YANTIAN,NEW YORK,"COLUMBUS, OH",180,200,3080,3850,GAOMING,659690,GAOMING
659690,657301,656909,USD,3260,4050,"1,2,4",YANTIAN,NORFOLK,"COLUMBUS, OH",180,200,3080,3850,GAOMING,659690,GAOMING
659690,657301,659550,USD,3180,3950,"1,2,4",YANTIAN,NORFOLK,"DETROIT, MI",180,200,3000,3750,GAOMING,659690,GAOMING
659690,656290,660248,USD,2820,3500,"1,2,4",YANTIAN,CHARLESTON,"DILLON, SC",180,200,2640,3300,GAOMING,659690,GAOMING
659690,656290,660243,USD,3100,3850,"1,2,4",YANTIAN,CHARLESTON,"GREER, SC",180,200,2920,3650,GAOMING,659690,GAOMING
659690,657301,660249,USD,3220,4000,"1,2,4",YANTIAN,NORFOLK,"KANSAS CITY, KS",180,200,3040,3800,GAOMING,659690,GAOMING
659690,657301,657099,USD,3220,4000,"1,2,4",YANTIAN,NORFOLK,"LOUISVILLE, KY",180,200,3040,3800,GAOMING,659690,GAOMING
659690,656034,657527,USD,3020,3750,"1,2,4",YANTIAN,SAVANNAH,"MEMPHIS, TN",180,200,2840,3550,GAOMING,659690,GAOMING
659690,656034,659680,USD,3140,3900,"1,2,4",YANTIAN,SAVANNAH,"NASHVILLE, TN",180,200,2960,3700,GAOMING,659690,GAOMING
659690,657301,660207,USD,3140,3900,"1,2,4",YANTIAN,NORFOLK,"PHILADELPHIA, PA",180,200,2960,3700,GAOMING,659690,GAOMING
659690,657301,657528,USD,3140,3900,"1,2,4",YANTIAN,NORFOLK,"ST LOUIS, MO",180,200,2960,3700,GAOMING,659690,GAOMING
659690,657525,657525,USD,2260,2800,"1,2,4",YANTIAN,TAMPA,TAMPA,180,200,2080,2600,GAOMING,659690,GAOMING
659690,657381,657381,USD,2260,2800,"1,2,4",YANTIAN,HOUSTON,HOUSTON,180,200,2080,2600,GAOMING,659690,GAOMING
659690,660236,660236,USD,2260,2800,"1,2,4",YANTIAN,MOBILE,MOBILE,180,200,2080,2600,GAOMING,659690,GAOMING
659690,660203,660203,USD,2260,2800,"1,2,4",YANTIAN,NEW ORLEANS,NEW ORLEANS,180,200,2080,2600,GAOMING,659690,GAOMING
659690,657381,657529,USD,3220,4000,"1,2,4",YANTIAN,HOUSTON,"DALLAS, TX",180,200,3040,3800,GAOMING,659690,GAOMING
659690,657381,657100,USD,3860,4800,"1,2,4",YANTIAN,HOUSTON,"DENVER, CO",180,200,3680,4600,GAOMING,659690,GAOMING
659690,660236,657527,USD,3460,4300,"1,2,4",YANTIAN,MOBILE,"MEMPHIS, TN",180,200,3280,4100,GAOMING,659690,GAOMING
659690,649304,649304,USD,2180,2700,"1,2,4",YANTIAN,MIAMI,MIAMI,180,200,2000,2500,GAOMING,659690,GAOMING
654210,660208,660208,USD,1960,2450,"1,2,4",YANTIAN,BALTIMORE,BALTIMORE,0,0,1960,2450,HAIKOU,654210,HAIKOU
654210,649220,649220,USD,2000,2500,"1,2,4",YANTIAN,NEW YORK,NEW YORK,0,0,2000,2500,HAIKOU,654210,HAIKOU
654210,657301,657301,USD,2000,2500,"1,2,4",YANTIAN,NORFOLK,NORFOLK,0,0,2000,2500,HAIKOU,654210,HAIKOU
654210,656034,656034,USD,2000,2500,"1,2,4",YANTIAN,SAVANNAH,SAVANNAH,0,0,2000,2500,HAIKOU,654210,HAIKOU
654210,656290,656290,USD,2000,2500,"1,2,4",YANTIAN,CHARLESTON,CHARLESTON,0,0,2000,2500,HAIKOU,654210,HAIKOU
654210,656034,656775,USD,2600,3250,"1,2,4",YANTIAN,SAVANNAH,"ATLANTA, GA",0,0,2600,3250,HAIKOU,654210,HAIKOU
654210,649220,660245,USD,3040,3800,"1,2,4",YANTIAN,NEW YORK,"BUFFALO, NY",0,0,3040,3800,HAIKOU,654210,HAIKOU
654210,656034,656284,USD,2600,3250,"1,2,4",YANTIAN,SAVANNAH,"CHARLOTTE, NC",0,0,2600,3250,HAIKOU,654210,HAIKOU
654210,656034,660242,USD,2800,3500,"1,2,4",YANTIAN,SAVANNAH,"CHATSWORTH, GA",0,0,2800,3500,HAIKOU,654210,HAIKOU
654210,649220,656569,USD,3040,3800,"1,2,4",YANTIAN,NEW YORK,"CHICAGO, IL",0,0,3040,3800,HAIKOU,654210,HAIKOU
654210,657301,656569,USD,3040,3800,"1,2,4",YANTIAN,NORFOLK,"CHICAGO, IL",0,0,3040,3800,HAIKOU,654210,HAIKOU
654210,649220,660244,USD,3040,3800,"1,2,4",YANTIAN,NEW YORK,"CINCINNATI, OH",0,0,3040,3800,HAIKOU,654210,HAIKOU
654210,657301,660244,USD,3040,3800,"1,2,4",YANTIAN,NORFOLK,"CINCINNATI, OH",0,0,3040,3800,HAIKOU,654210,HAIKOU
654210,649220,657532,USD,2920,3650,"1,2,4",YANTIAN,NEW YORK,"CLEVELAND, OH",0,0,2920,3650,HAIKOU,654210,HAIKOU
654210,657301,657532,USD,2920,3650,"1,2,4",YANTIAN,NORFOLK,"CLEVELAND, OH",0,0,2920,3650,HAIKOU,654210,HAIKOU
654210,649220,656909,USD,3080,3850,"1,2,4",YANTIAN,NEW YORK,"COLUMBUS, OH",0,0,3080,3850,HAIKOU,654210,HAIKOU
654210,657301,656909,USD,3080,3850,"1,2,4",YANTIAN,NORFOLK,"COLUMBUS, OH",0,0,3080,3850,HAIKOU,654210,HAIKOU
654210,657301,659550,USD,3000,3750,"1,2,4",YANTIAN,NORFOLK,"DETROIT, MI",0,0,3000,3750,HAIKOU,654210,HAIKOU
654210,656290,660248,USD,2640,3300,"1,2,4",YANTIAN,CHARLESTON,"DILLON, SC",0,0,2640,3300,HAIKOU,654210,HAIKOU
654210,656290,660243,USD,2920,3650,"1,2,4",YANTIAN,CHARLESTON,"GREER, SC",0,0,2920,3650,HAIKOU,654210,HAIKOU
654210,657301,660249,USD,3040,3800,"1,2,4",YANTIAN,NORFOLK,"KANSAS CITY, KS",0,0,3040,3800,HAIKOU,654210,HAIKOU
654210,657301,657099,USD,3040,3800,"1,2,4",YANTIAN,NORFOLK,"LOUISVILLE, KY",0,0,3040,3800,HAIKOU,654210,HAIKOU
654210,656034,657527,USD,2840,3550,"1,2,4",YANTIAN,SAVANNAH,"MEMPHIS, TN",0,0,2840,3550,HAIKOU,654210,HAIKOU
654210,656034,659680,USD,2960,3700,"1,2,4",YANTIAN,SAVANNAH,"NASHVILLE, TN",0,0,2960,3700,HAIKOU,654210,HAIKOU
654210,657301,660207,USD,2960,3700,"1,2,4",YANTIAN,NORFOLK,"PHILADELPHIA, PA",0,0,2960,3700,HAIKOU,654210,HAIKOU
654210,657301,657528,USD,2960,3700,"1,2,4",YANTIAN,NORFOLK,"ST LOUIS, MO",0,0,2960,3700,HAIKOU,654210,HAIKOU
654210,657525,657525,USD,2080,2600,"1,2,4",YANTIAN,TAMPA,TAMPA,0,0,2080,2600,HAIKOU,654210,HAIKOU
654210,657381,657381,USD,2080,2600,"1,2,4",YANTIAN,HOUSTON,HOUSTON,0,0,2080,2600,HAIKOU,654210,HAIKOU
654210,660236,660236,USD,2080,2600,"1,2,4",YANTIAN,MOBILE,MOBILE,0,0,2080,2600,HAIKOU,654210,HAIKOU
654210,660203,660203,USD,2080,2600,"1,2,4",YANTIAN,NEW ORLEANS,NEW ORLEANS,0,0,2080,2600,HAIKOU,654210,HAIKOU
654210,657381,657529,USD,3040,3800,"1,2,4",YANTIAN,HOUSTON,"DALLAS, TX",0,0,3040,3800,HAIKOU,654210,HAIKOU
654210,657381,657100,USD,3680,4600,"1,2,4",YANTIAN,HOUSTON,"DENVER, CO",0,0,3680,4600,HAIKOU,654210,HAIKOU
654210,660236,657527,USD,3280,4100,"1,2,4",YANTIAN,MOBILE,"MEMPHIS, TN",0,0,3280,4100,HAIKOU,654210,HAIKOU
654210,649304,649304,USD,2000,2500,"1,2,4",YANTIAN,MIAMI,MIAMI,0,0,2000,2500,HAIKOU,654210,HAIKOU
660197,660208,660208,USD,2050,2550,"1,2,4",YANTIAN,BALTIMORE,BALTIMORE,90,100,1960,2450,HUANGPU,660197,HUANGPU
660197,649220,649220,USD,2090,2600,"1,2,4",YANTIAN,NEW YORK,NEW YORK,90,100,2000,2500,HUANGPU,660197,HUANGPU
660197,657301,657301,USD,2090,2600,"1,2,4",YANTIAN,NORFOLK,NORFOLK,90,100,2000,2500,HUANGPU,660197,HUANGPU
