POL,POD,Place of Delivery,Curr,D20,D40,polName,podName,originalPlaceOfDelivery,feederD20,feederD40,baseD20,baseD40,feederPlaceOfReceipt,feederPlaceOfReceiptID,Place of Receipt
653453,656495,657532,USD,4140,4850,SINGAPORE,SEATTLE,CLEVELAND,270,300,3870,4550,PHNOM PENH,653453,PHNOM PENH
653453,656495,660272,USD,4140,4850,SINGAPORE,SEATTLE,COLUMBUS,270,300,3870,4550,PHNOM PENH,653453,PHNOM PENH
653453,656495,659550,USD,4225,4950,SINGAPORE,SEATTLE,DETROIT,270,300,3955,4650,PHNOM PENH,653453,PHNOM PENH
653453,656495,657530,USD,6180,7250,SINGAPORE,SEATTLE,INDIANAPOLIS,270,300,5910,6950,PHNOM PENH,653453,PHNOM PENH
653453,656495,657099,USD,4480,5250,SINGAPORE,SEATTLE,LOUISVILLE,270,300,4210,4950,PHNOM PENH,653453,PHNOM PENH
653453,656495,657527,USD,3715,4350,SINGAPORE,SEATTLE,MEMPHIS,270,300,3445,4050,PHNOM PENH,653453,PHNOM PENH
653453,656495,658126,USD,3630,4250,SINGAPORE,SEATTLE,OMAHA,270,300,3360,3950,PHNOM PENH,653453,PHNOM PENH
653453,656495,656497,USD,2565,3000,SINGAPORE,SEATTLE,PORTLAND,270,300,2295,2700,PHNOM PENH,653453,PHNOM PENH
653453,656495,656915,USD,3970,4650,SINGAPORE,SEATTLE,ST PAUL,270,300,3700,4350,PHNOM PENH,653453,PHNOM PENH
653453,660196,660196,USD,4000,5000,SINGAPORE,HONOLULU,,270,300,3730,4700,PHNOM PENH,653453,PHNOM PENH
656727,648392,648392,USD,2025,2350,SINGAPORE,LOS ANGELES,,495,550,1530,1800,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,648146,USD,2025,2350,SINGAPORE,LONG BEACH,,495,550,1530,1800,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,656664,656664,USD,2025,2350,SINGAPORE,OAKLAND,,495,550,1530,1800,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,656569,USD,4025,4700,SINGAPORE,LOS ANGELES,CHICAGO,495,550,3530,4150,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,656569,USD,4025,4700,SINGAPORE,LONG BEACH,CHICAGO,495,550,3530,4150,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,660244,USD,4535,5300,SINGAPORE,LOS ANGELES,CINCINNATI,495,550,4040,4750,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,660244,USD,4535,5300,SINGAPORE,LONG BEACH,CINCINNATI,495,550,4040,4750,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648392,657532,USD,4535,5300,SINGAPORE,LOS ANGELES,CLEVELAND,495,550,4040,4750,SIHANOUKVILLE,656727,SIHANOUKVILLE
656727,648146,657532,USD,4535,5300,SINGAPORE,LONG BEACH,CLEVELAND,495,550,4040,4750,SIHANOUKVILLE,656727,SIHANOUKVILLE
